TANGGAL,BULAN,TAHUN,CURAH HUJAN,,,,,,,
6,MAR,2018,"1,00",,,,,,,
7,MAR,2018,"4,00",,,,,,,
8,MAR,2018,"0,70",,,,,,,
9,MAR,2018,"27,80",,,,,,,
10,MAR,2018,,,,,,,,
11,MAR,2018,,,,,,,,
12,MAR,2018,,,,,,,,
13,MAR,2018,,,,,,,,
14,MAR,2018,,,,,,,,
15,MAR,2018,"2,00",,,,,,,
16,MAR,2018,,,,,,,,
17,MAR,2018,"29,40",,,,,,,
18,MAR,2018,,,,,,,,
19,MAR,2018,"0,80",,,,,,,
20,MAR,2018,,,,,,,,
21,MAR,2018,"33,60",,,,,,,
22,MAR,2018,,,,,,,,
23,MAR,2018,"1,20",,,,,,,
24,MAR,2018,"12,50",,,,,,,
25,MAR,2018,"21,90",,,,,,,
26,MAR,2018,"1,60",,,,,,,
27,MAR,2018,,,,,,,,
28,MAR,2018,,,,,,,,
29,MAR,2018,,,,,,,,
30,MAR,2018,"2,20",,,,,,,
31,MAR,2018,,,,,,,,
1,APR,2018,,,,,,,,
2,APR,2018,"10,40",,,,,,,
3,APR,2018,,,,,,,,
4,APR,2018,,,,,,,,
5,APR,2018,"83,30",,,,,,,
6,APR,2018,,,,,,,,
7,APR,2018,"7,60",,,,,,,
8,APR,2018,,,,,,,,
9,APR,2018,"3,20",,,,,,,
10,APR,2018,,,,,,,,
11,APR,2018,"4,00",,,,,,,
12,APR,2018,,,,,,,,
13,APR,2018,"2,30",,,,,,,
14,APR,2018,"2,50",,,,,,,
15,APR,2018,"2,70",,,,,,,
16,APR,2018,,,,,,,,
17,APR,2018,"69,10",,,,,,,
18,APR,2018,,,,,,,,
19,APR,2018,,,,,,,,
20,APR,2018,,,,,,,,
21,APR,2018,,,,,,,,
22,APR,2018,,,,,,,,
23,APR,2018,,,,,,,,
24,APR,2018,,,,,,,,
25,APR,2018,,,,,,,,
26,APR,2018,"6,00",,,,,,,
27,APR,2018,,,,,,,,
28,APR,2018,"67,00",,,,,,,
29,APR,2018,,,,,,,,
30,APR,2018,"22,00",,,,,,,
31,APR,2018,,,,,,,,
1,MEI,2018,"38,50",,,,,,,
