"","","","","","","","","","","","",""
"TABLE 1","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"NO . STA","04.13.A3.001.0011","","","","","","","","","","",""
"KOORDINAT :","0 ° 13 ' 41.2 "" LS 115 ° 41 ' 27.1 "" BT","","","","","","","","","","",""
"ELEVASI :","174.198 MDPL","","","","","","","","","","",""
"DIBANGUN OLEH :","PBPS","","","","","","","","","","",""
"TAHUN PENDIRIAN :","2006","","","","","","","","","","",""
"JENIS POS :","MANUAL","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 2","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TGL","","","","","","Tinggi
(","Hujan
mm )","","","","",""
"","JAN","PEB","MAR","APR","MEI","JUNI","JULI","AGS","SEP","OKT","NOP","DES"
"8","96,60","","","52,20","","","2,00","","","55,50","80,40",""
"9","","","","","50,00","","","","","","","5,80"
"10","","","","6,40","","41,20","","","23,30","","",""
"11","","62,40","","","","","","","","","",""
"12","","","24,20","","","","","","","","","21,50"
"13","","","","","45,50","","","","","","135,00","31,60"
"14","","18,00","103,50","","","","","","","80,20","",""
"15","","33,30","","67,10","","","","","","","",""
"16","","49,50","","","","","","","","","","66,50"
"17","","30,00","","","","35,40","","30,50","","","",""
"18","21,30","","","","120,40","","","","10,20","","20,70","55,50"
"19","","","","","","","105,30","","","","",""
"20","24,40","","98,90","","50,00","","","10,30","","7,40","",""
"21","","","","","","","","","","","35,60","16,70"
"22","","","23,00","","70,30","","50,60","","","","",""
"23","","50,00","","","54,50","","","","","","",""
"24","","20,00","","","","0,50","","","","","24,70",""
"25","","","88,30","","","","","","21,40","","62,80","15,60"
"26","","9,90","","","","","55,40","","","","",""
"27","","","","34,40","25,50","","","23,40","","","",""
"28","","36,10","","","","","","","","","",""
"29","","","","","","","","","","74,80","1,50","20,20"
"30","11,00","","","","","","26,40","33,20","8,10","42,50","10,80",""
"31","","","","","","","","","","88,10","",""
"Hujan Maksimum","96,60","62,40","104,00","67,10","120,40","46,50","105,30","33,20","23,30","88,10","135,00","66,50"
"Jumlah Curah Hujan","185,10","346,70","441,90","208,10","510,80","123,60","308,20","97,40","78,70","372,50","391,80","242,40"
"Jumlah Hari Hujan","5","12","6","5","9","4","6","4","5","7","9","9"
"Jumlah Data ( 1-15 )","2","6","3","4","4","2","2","0","2","3","3","4"
"Jumlah Hujan ( 1 - 15 )","128,40","151,20","231,70","173,70","190,10","87,70","70,50","0,00","39,00","159,70","235,70","67,90"
"Jumlah Data ( 16-31 )","3","6","3","1","5","2","4","4","3","4","( )","5 LO"
"Jumlah Hujan ( 16 - 31 )","56,70","195,50","210,20","34,40","320,70","35,90","237,70","97,40","39,70","212,80","156,10","174,50"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 13","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"WILAYAH SUNGAI","MAHAKAM","","","","","","","","","","",""
"DAS / SUB DAS","MAHAKAM","","","","","","","","","","",""
"SUNGAI :","MAHAKAM","","","","","","","","","","",""
"KELURAHAN / DESA","BARONG TONGKOK","","","","","","","","","","",""
"KECAMATAN :","BARONG TONGKOK","","","","","","","","","","",""
"KAB / KOTA , PROVINSI :","KUTAI BARAT , KALIMANTAN TIMUR","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"TABLE 14","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"NO . STA","04.13.A3.001.0011","","","","","","","","","","",""
"KOORDINAT :","0 ° 13 ' 41.2 "" LS 115 ° 41 ' 27.1 "" BT","","","","","","","","","","",""
"ELEVASI :","174.198 MDPL","","","","","","","","","","",""
"DIBANGUN OLEH :","PBPS","","","","","","","","","","",""
"TAHUN PENDIRIAN :","2006","","","","","","","","","","",""
"JENIS POS :","MANUAL","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
