TANGGAL,BULAN,TAHUN,TINGGI MUKA AIR
28,OKT,2020,"7,01"
29,OKT,2020,"6,60"
30,OKT,2020,"6,40"
31,OKT,2020,"7,26"
1,NOV,2020,"8,45"
2,NOV,2020,"9,03"
3,NOV,2020,"9,39"
4,NOV,2020,"9,50"
5,NOV,2020,"9,55"
6,NOV,2020,"9,22"
7,NOV,2020,"9,15"
8,NOV,2020,"8,81"
9,NOV,2020,"8,63"
10,NOV,2020,"8,81"
11,NOV,2020,"8,46"
12,NOV,2020,"7,60"
13,NOV,2020,"6,82"
14,NOV,2020,"6,24"
15,NOV,2020,"5,85"
16,NOV,2020,"5,48"
17,NOV,2020,"5,18"
18,NOV,2020,"5,05"
19,NOV,2020,"5,52"
20,NOV,2020,"5,67"
21,NOV,2020,"5,65"
22,NOV,2020,"5,53"
23,NOV,2020,"6,46"
24,NOV,2020,"7,84"
25,NOV,2020,"9,32"
26,NOV,2020,"9,63"
27,NOV,2020,"9,58"
28,NOV,2020,"9,14"
29,NOV,2020,"8,49"
30,NOV,2020,"7,80"
31,NOV,2020,
1,DES,2020,"7,21"
2,DES,2020,"6,87"
3,DES,2020,"6,69"
4,DES,2020,"6,55"
5,DES,2020,"6,30"
6,DES,2020,"6,03"
7,DES,2020,"5,89"
8,DES,2020,"5,68"
9,DES,2020,"5,38"
10,DES,2020,"5,12"
11,DES,2020,"4,97"
12,DES,2020,"5,18"
13,DES,2020,"5,84"
14,DES,2020,"6,28"
15,DES,2020,"6,63"
16,DES,2020,"6,86"
17,DES,2020,"6,98"
18,DES,2020,"7,62"
19,DES,2020,"9,11"
20,DES,2020,"9,57"
21,DES,2020,"9,37"
22,DES,2020,"8,34"
23,DES,2020,"7,25"
24,DES,2020,"6,94"
25,DES,2020,"6,92"
26,DES,2020,"7,83"
27,DES,2020,"7,99"
28,DES,2020,"7,30"
29,DES,2020,"6,92"
30,DES,2020,"6,54"
31,DES,2020,"6,41"
1,JAN,2019,"5,24"
2,JAN,2019,"4,81"
3,JAN,2019,"4,78"
4,JAN,2019,"5,65"
5,JAN,2019,"5,60"
6,JAN,2019,"5,49"
7,JAN,2019,"5,15"
8,JAN,2019,"4,75"
9,JAN,2019,"4,35"
10,JAN,2019,"4,13"
11,JAN,2019,"5,60"
12,JAN,2019,"6,29"
13,JAN,2019,"6,00"
14,JAN,2019,"6,15"
15,JAN,2019,"6,96"
16,JAN,2019,"7,62"
17,JAN,2019,"7,51"
18,JAN,2019,"7,45"
19,JAN,2019,"7,40"
20,JAN,2019,"6,50"
21,JAN,2019,"5,76"
22,JAN,2019,"5,74"
